iter,emax,log_compression,n_live
1,5.279852382574038e7,-0.008333333333333333,120
2,2.695619623657457e6,-0.008333333333333333,120
3,1.0320675623407202e6,-0.008333333333333333,120
4,591631.8979485575,-0.008333333333333333,120
5,381695.6118726374,-0.008333333333333333,120
6,62881.55329982135,-0.008333333333333333,120
7,5044.76111940705,-0.008333333333333333,120
8,3482.2001254527045,-0.008333333333333333,120
9,1230.8220749891339,-0.008333333333333333,120
10,1015.3066145004459,-0.008333333333333333,120
11,228.3572092933586,-0.008333333333333333,120
12,28.469610312376602,-0.008333333333333333,120
13,23.258060487784405,-0.008333333333333333,120
14,19.277912843475498,-0.008333333333333333,120
15,9.800544493994993,-0.008333333333333333,120
16,8.285969682271944,-0.008333333333333333,120
17,7.7463567225303995,-0.008333333333333333,120
18,5.8539035851616745,-0.008333333333333333,120
19,4.664611060236332,-0.008333333333333333,120
20,4.584051860991277,-0.008333333333333333,120
21,4.532586840842602,-0.008333333333333333,120
22,3.848267077255154,-0.008333333333333333,120
23,3.490280121640098,-0.008333333333333333,120
24,2.842793458676998,-0.008333333333333333,120
25,2.4097424671950596,-0.008333333333333333,120
26,2.323943661808974,-0.008333333333333333,120
27,1.8227341553542962,-0.008333333333333333,120
28,0.6654550784944538,-0.008333333333333333,120
29,0.6551013180532245,-0.008333333333333333,120
30,0.3938372625956835,-0.008333333333333333,120
31,0.3557294098179459,-0.008333333333333333,120
32,0.11234900009409741,-0.008333333333333333,120
33,0.09891194528254454,-0.008333333333333333,120
34,0.05665135132378528,-0.008333333333333333,120
35,0.02778736831486666,-0.008333333333333333,120
36,0.024939926231406666,-0.008333333333333333,120
37,-0.0011975448787464721,-0.008333333333333333,120
38,-0.0013448100613411593,-0.008333333333333333,120
39,-0.0015459665606134417,-0.008333333333333333,120
40,-0.001553662651987602,-0.008333333333333333,120
41,-0.002377553680932279,-0.008333333333333333,120
42,-0.002385366293277351,-0.008333333333333333,120
43,-0.0025128420699235803,-0.008333333333333333,120
44,-0.0025330926987199415,-0.008333333333333333,120
45,-0.0028664296168549306,-0.008333333333333333,120
46,-0.003452847807657707,-0.008333333333333333,120
47,-0.00391521149413676,-0.008333333333333333,120
48,-0.005429574486928707,-0.008333333333333333,120
49,-0.005817089131116708,-0.008333333333333333,120
50,-0.005922753103713105,-0.008333333333333333,120
51,-0.00593007654729656,-0.008333333333333333,120
52,-0.006238887694623877,-0.008333333333333333,120
53,-0.006497111650228382,-0.008333333333333333,120
54,-0.006522530449324541,-0.008333333333333333,120
55,-0.006614987789303352,-0.008333333333333333,120
56,-0.006918088086582575,-0.008333333333333333,120
57,-0.007662061827859447,-0.008333333333333333,120
58,-0.007678895840227866,-0.008333333333333333,120
59,-0.00770835256638421,-0.008333333333333333,120
